Dates,BCOM Index_Last,BCOM Index_Open,BCOM Index_High,BCOM Index_Low
2001-04-24,107.212,108.129,108.323,107.212
2001-04-25,107.4318,107.261,107.512,107.261
2001-04-26,108.6608,107.857,108.8,107.857
2001-04-27,108.3163,108.705,108.856,108.3163
2001-04-30,108.7085,108.419,109.063,108.419
2001-05-01,109.3762,108.837,109.56,108.837
2001-05-02,108.4536,108.825,109.258,108.4536
2001-05-03,109.1157,108.351,109.344,108.351
2001-05-04,109.0157,109.275,109.283,109.0157
2001-05-07,108.192,108.962,109.236,108.192
2001-05-08,107.9164,108.278,108.439,107.9164
2001-05-09,108.271,107.88,108.271,107.88
2001-05-10,108.2946,108.273,108.768,108.273
2001-05-11,108.0314,107.232,108.435,107.232
2001-05-14,108.0958,108.059,108.209,108.059
2001-05-15,108.5899,108.195,108.76,108.195
2001-05-16,108.5779,108.596,108.983,108.5779
2001-05-17,109.0405,108.359,109.133,108.359
2001-05-18,110.832,109.343,110.884,109.343
2001-05-21,110.3076,111.085,111.218,110.3076
2001-05-22,109.6928,109.972,110.171,109.6928
2001-05-23,109.4202,109.418,109.757,109.418
2001-05-24,108.3741,109.891,110.063,108.3741
2001-05-25,107.4399,108.165,108.19,107.4399
2001-05-28,107.4399,108.165,108.19,107.4399
2001-05-29,106.7252,107.285,107.612,106.7252
2001-05-30,106.1975,106.792,106.815,106.1975
2001-05-31,106.0908,105.668,106.225,105.668
2001-06-01,106.1831,106.054,106.621,106.054
2001-06-04,105.7913,106.583,106.786,105.7913
2001-06-05,105.9345,106.191,106.244,105.9345
2001-06-06,105.4849,105.44,105.743,105.44
2001-06-07,105.3181,105.145,105.886,105.145
2001-06-08,106.1922,105.175,106.195,105.175
2001-06-11,106.6774,106.718,107.051,106.6774
2001-06-12,107.1948,106.677,107.377,106.677
2001-06-13,106.7427,107.318,107.485,106.7427
2001-06-14,106.8355,106.625,107.09,106.625
2001-06-15,105.4248,106.544,106.557,105.4248
2001-06-18,104.8868,105.266,105.58,104.8868
2001-06-19,104.9829,105.007,105.224,104.9829
2001-06-20,102.7428,104.465,104.534,102.7428
2001-06-21,102.7767,102.807,103.015,102.7767
2001-06-22,102.506,103.257,103.392,102.506
2001-06-25,102.412,102.488,102.57,102.412
2001-06-26,102.6716,102.432,102.944,102.432
2001-06-27,101.2189,101.252,101.252,101.2189
2001-06-28,100.6923,100.935,101.136,100.6923
2001-06-29,101.5707,100.885,101.914,100.885
2001-07-02,101.5395,101.281,101.877,101.281
2001-07-03,101.6363,101.378,101.662,101.378
2001-07-04,101.6363,101.378,101.662,101.378
